InputSize,Algorithm,Type,ThreadCount,TimeGenData,TimeSort,TimeVerify,TimeTotal,IsSorted
1000000,merge,mta,2,6.29799,84.7168,0.135864,91.1506,1
1000000,merge,mta,2,5.38749,78.0269,0.125234,83.5396,1
1000000,merge,mta,2,5.3367,76.4217,0.145782,81.9041,1
1000000,merge,mta,2,5.25446,94.5761,0.122089,99.9527,1
1000000,merge,mta,2,6.31089,86.4357,0.132718,92.8793,1
1000000,merge,mta,2,6.19367,85.5705,0.144159,91.9083,1
1000000,merge,mta,2,6.06877,87.1278,0.136405,93.333,1
1000000,merge,mta,2,5.93246,86.6511,0.139932,92.7235,1
1000000,merge,mta,2,6.11217,86.6762,0.248094,93.0365,1
1000000,merge,mta,2,6.00755,84.9507,0.248305,91.2066,1
1000000,merge,mta,2,6.20637,86.4447,0.137347,92.7884,1
1000000,merge,mta,2,6.10401,90.2707,0.260116,96.6348,1
1000000,merge,mta,2,6.11003,86.4652,0.287367,92.8626,1
1000000,merge,mta,2,6.15441,87.2885,0.146304,93.5892,1
1000000,merge,mta,2,5.8822,76.6494,0.137026,82.6686,1
1000000,merge,mta,2,5.26244,75.7304,0.126267,81.1191,1
1000000,merge,mta,2,5.06212,77.7652,0.13337,82.9607,1
1000000,merge,mta,2,5.21321,75.5989,0.121668,80.9338,1
1000000,merge,mta,2,5.36111,75.5832,0.123892,81.0682,1
1000000,merge,mta,2,5.12728,75.8469,0.121197,81.0953,1
1000000,merge,mta,2,5.09781,75.8786,0.124072,81.1004,1
1000000,merge,mta,2,5.18295,76.3051,0.178374,81.6665,1
1000000,merge,mta,2,5.24936,79.1686,0.121497,84.5394,1
1000000,merge,mta,2,5.21499,75.7951,0.128671,81.1387,1
1000000,merge,mta,2,5.25068,76.4869,0.129973,81.8676,1
1000000,merge,mta,2,5.03663,81.7894,0.125976,86.952,1
1000000,merge,mta,2,5.14942,76.7732,0.123882,82.0465,1
1000000,merge,mta,2,5.343,76.2058,0.123952,81.6727,1
1000000,merge,mta,2,5.10608,75.2804,0.119264,80.5058,1
1000000,merge,mta,2,5.13602,75.2768,0.123111,80.536,1
1000000,merge,mta,2,5.19902,75.7049,0.132689,81.0366,1
1000000,merge,mta,2,5.18286,75.7645,0.13353,81.0809,1
1000000,merge,mta,2,5.21345,75.8816,0.123682,81.2188,1
1000000,merge,mta,2,5.38175,77.3126,0.132348,82.8267,1
1000000,merge,mta,2,5.10382,75.9519,0.127949,81.1837,1
1000000,merge,mta,2,5.02668,75.8204,0.123091,80.9701,1
1000000,merge,mta,2,5.24589,75.7222,0.128741,81.0969,1
1000000,merge,mta,2,5.27927,75.5522,0.126416,80.9579,1
1000000,merge,mta,2,5.14896,75.4182,0.130434,80.6976,1
1000000,merge,mta,2,5.21777,76.6709,0.278491,82.1672,1
1000000,merge,mta,2,5.13285,87.5685,0.13924,92.8406,1
1000000,merge,mta,2,6.63103,87.4389,0.247463,94.3174,1
1000000,merge,mta,2,5.81225,85.0435,0.135313,90.991,1
1000000,merge,mta,2,5.82384,85.692,0.149069,91.6649,1
1000000,merge,mta,2,6.07669,85.7255,0.138369,91.9406,1
1000000,merge,mta,2,6.2738,87.9951,0.134461,94.4034,1
1000000,merge,mta,2,6.11393,85.4602,0.210704,91.7849,1
1000000,merge,mta,2,6.09919,86.7429,0.137177,92.9793,1
1000000,merge,mta,2,6.27381,87.2543,0.143699,93.6718,1
1000000,merge,mta,2,6.05694,80.5364,0.136465,86.7298,1
1000000,merge,mta,2,5.22162,109.538,0.167143,114.927,1
1000000,merge,mta,2,5.18145,77.1474,0.132478,82.4613,1
1000000,merge,mta,2,5.17844,75.7014,0.127398,81.0072,1
1000000,merge,mta,2,5.2226,75.6088,0.123932,80.9553,1
1000000,merge,mta,2,5.20176,75.8162,0.121678,81.1397,1
1000000,merge,mta,2,5.27417,76.516,0.123481,81.9136,1
1000000,merge,mta,2,5.2672,76.5229,0.125395,81.9155,1
1000000,merge,mta,2,5.23083,75.5516,0.1228,80.9052,1
1000000,merge,mta,2,5.18099,76.8016,0.136285,82.1189,1
1000000,merge,mta,2,5.18825,76.645,0.134101,81.9673,1
1000000,merge,mta,2,5.19889,81.6804,0.122229,87.0015,1
1000000,merge,mta,2,5.2016,75.8258,0.132378,81.1597,1
1000000,merge,mta,2,5.1477,75.3565,0.129993,80.6342,1
1000000,merge,mta,2,5.27725,75.5112,0.133229,80.9217,1
1000000,merge,mta,2,5.2295,75.8445,0.124272,81.1982,1
