InputSize,Algorithm,Type,ThreadCount,TimeGenData,TimeSort,TimeVerify,TimeTotal,IsSorted
1000000,merge,mta,2,14.4888,180.843,0.2324,195.565,1
1000000,merge,mta,3,14.49,125.652,0.2091,140.351,1
1000000,merge,mta,4,14.1242,95.7656,0.0172,109.907,1
1000000,merge,mta,5,14.4584,73.8268,0.1048,88.39,1
1000000,merge,mta,6,14.2346,65.7982,0.0166,80.0494,1
1000000,merge,mta,7,14.378,57.2392,0.0159,71.6331,1
1000000,merge,mta,8,15.0439,54.6469,0.0163,69.7071,1
1000000,merge,mta,9,14.5552,48.6767,0.0672,63.2991,1
1000000,merge,mta,10,13.9747,44.1732,0.0162,58.1641,1
1000000,merge,mta,11,13.9485,46.9443,0.0172,60.91,1
1000000,merge,mta,12,13.8359,42.6951,0.0187,56.5497,1
1000000,merge,mta,13,14.2829,41.6214,0.0157,55.92,1
1000000,merge,mta,14,14.1176,40.3749,0.0222,54.5147,1
1000000,merge,mta,15,14.3029,39.6878,0.0212,54.0119,1
1000000,merge,mta,16,15.2238,41.8467,0.0664,57.1369,1
1000000,merge,mta,17,14.2699,36.1715,0.0386,50.48,1
1000000,merge,mta,18,14.1996,34.3403,0.0168,48.5567,1
1000000,merge,mta,19,14.1032,33.7313,0.0177,47.8522,1
1000000,merge,mta,20,14.0344,34.8273,0.0171,48.8788,1
1000000,merge,mta,21,14.2443,33.7027,0.0157,47.9627,1
1000000,merge,mta,22,14.1288,34.7895,0.0202,48.9385,1
1000000,merge,mta,23,14.2952,41.5838,0.0183,55.8973,1
1000000,merge,mta,24,14.3054,37.8742,0.0163,52.1959,1
1000000,quick,mta,2,14.271,304.792,0.5299,319.593,1
1000000,quick,mta,3,14.2523,255.984,0.5531,270.789,1
1000000,quick,mta,4,14.2539,248.358,0.4905,263.102,1
1000000,quick,mta,5,14.3874,232.77,0.4534,247.611,1
1000000,quick,mta,6,14.3086,241.174,0.5064,255.989,1
1000000,quick,mta,7,14.1506,217.285,0.4785,231.914,1
1000000,quick,mta,8,14.055,233.001,0.4544,247.51,1
1000000,quick,mta,9,14.4618,231.64,0.4972,246.599,1
1000000,quick,mta,10,14.2374,225.159,0.4553,239.851,1
1000000,quick,mta,11,14.2271,213.505,0.6426,228.374,1
1000000,quick,mta,12,14.0245,227.351,0.4746,241.85,1
1000000,quick,mta,13,14.7208,211.891,0.461,227.073,1
1000000,quick,mta,14,14.1416,214.868,0.4745,229.484,1
1000000,quick,mta,15,14.1195,217.486,0.4608,232.067,1
1000000,quick,mta,16,15.5729,229.923,0.68,246.176,1
1000000,quick,mta,17,14.503,220.627,0.4474,235.577,1
1000000,quick,mta,18,14.1872,195.678,0.5746,210.44,1
1000000,quick,mta,19,13.9684,199.683,0.4626,214.114,1
1000000,quick,mta,20,14.2406,210.851,0.4571,225.549,1
1000000,quick,mta,21,14.3016,199.595,0.4594,214.356,1
1000000,quick,mta,22,14.1181,195.09,0.5195,209.727,1
1000000,quick,mta,23,14.0702,196.908,0.4487,211.427,1
1000000,quick,mta,24,14.08,191.667,0.4541,206.201,1
